"par","coef","pval","NOTsubclinical","screeningType","is.signif.wBonferroni","ctxt"
"thermal scanner
sensitivity",0.242681865699392,7.17903566375851e-15,"25% subclinical","both",TRUE,"0.24*"
"questionnaire
sensitivity",0.232687587747353,9.22590857292274e-14,"25% subclinical","both",TRUE,"0.23*"
"mean incubation
(days)",-0.204735070974316,6.33791734604302e-11,"25% subclinical","both",TRUE,"-0.20*"
"R0",-0.389589481364821,1.36464455244555e-37,"25% subclinical","both",TRUE,"-0.39*"
"onset to
isolation (days)",0.321700437277741,1.64384565404932e-25,"25% subclinical","both",TRUE,"0.32*"
"frac aware
of risk",0.173773195456772,3.19417266225932e-08,"5% subclinical","both",TRUE,"0.17*"
"thermal scanner
sensitivity",0.147048594645099,3.01675826008707e-06,"5% subclinical","both",TRUE,"0.15*"
"questionnaire
sensitivity",0.151040220565663,1.60347640005868e-06,"5% subclinical","both",TRUE,"0.15*"
"mean incubation
(days)",-0.224663846951532,6.58982670303551e-13,"5% subclinical","both",TRUE,"-0.22*"
"R0",-0.445566469676488,6.18737717725706e-50,"5% subclinical","both",TRUE,"-0.45*"
"onset to
isolation (days)",0.338995717468523,2.59140926900183e-28,"5% subclinical","both",TRUE,"0.34*"
